Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-07-05 11:45:17,2018-07-05 11:47:31,2m - 14.067s,PASSED
,,,,,,
Test Cases/successfulLoginTest,,,2018-07-05 11:45:17,2018-07-05 11:46:24,1m - 7.281s,PASSED
startApplication,,,2018-07-05 11:45:17,2018-07-05 11:46:08,51.044s,PASSED
tap,,,2018-07-05 11:46:08,2018-07-05 11:46:10,2.189s,PASSED
tap,,,2018-07-05 11:46:10,2018-07-05 11:46:12,2.093s,PASSED
setText,,,2018-07-05 11:46:12,2018-07-05 11:46:14,1.349s,PASSED
tap,,,2018-07-05 11:46:14,2018-07-05 11:46:16,2.057s,PASSED
setText,,,2018-07-05 11:46:16,2018-07-05 11:46:17,1.282s,PASSED
tap,,,2018-07-05 11:46:17,2018-07-05 11:46:20,2.723s,PASSED
closeApplication,,,2018-07-05 11:46:20,2018-07-05 11:46:24,4.331s,PASSED
,,,,,,
Test Cases/failedLoginTest,,,2018-07-05 11:46:24,2018-07-05 11:47:31,1m - 6.534s,PASSED
startApplication,,,2018-07-05 11:46:24,2018-07-05 11:47:14,50.024s,PASSED
tap,,,2018-07-05 11:47:14,2018-07-05 11:47:16,1.958s,PASSED
tap,,,2018-07-05 11:47:16,2018-07-05 11:47:18,1.588s,PASSED
setText,,,2018-07-05 11:47:18,2018-07-05 11:47:19,1.427s,PASSED
tap,,,2018-07-05 11:47:19,2018-07-05 11:47:21,2.012s,PASSED
setText,,,2018-07-05 11:47:21,2018-07-05 11:47:22,1.249s,PASSED
tap,,,2018-07-05 11:47:22,2018-07-05 11:47:24,1.784s,PASSED
tap,,,2018-07-05 11:47:24,2018-07-05 11:47:26,1.987s,PASSED
closeApplication,,,2018-07-05 11:47:26,2018-07-05 11:47:31,4.435s,PASSED
